text,genre,feature
"A BONED TURKEY.

  A large turkey.
  Three sixpenny loaves of stale bread.
  One pound of fresh butter.
  Four eggs.
  One bunch of pot-herbs, parsley, thyme, and little onions.
  Two bunches of sweet marjoram.
  Two bunches of sweet basil.
  Two nutmegs.                   \
  Half an ounce of cloves.        }  pounded fine.
  A quarter of an ounce of mace. /
  A table-spoonful of salt.
  A table-spoonful of pepper.

Skewers, tape, needle, and coarse thread will be wanted.

Grate the bread, and put the crusts in water to soften. Then break
them up small into the pan of crumbled bread. Cut up a pound of
butter in the pan of bread. Rub the herbs to powder, and have two
table-spoonfuls of sweet-marjoram and two of sweet basil, or more
of each if the turkey is very large. Chop the pot-herbs, and pound
the spice. Then add the salt and pepper, and mix all the
ingredients well together. Beat slightly four eggs, and mix them
with the seasoning and bread crumbs.

After the turkey is drawn, take a sharp knife and, beginning at
the wings, carefully separate the flesh from the bone, scraping it
down as you go; and avoid tearing or breaking the skin. Next,
loosen the flesh from the breast and back, and then from the
thighs. It requires great care and patience to do it nicely. When
all the flesh is thus loosened, take the turkey by the neck, give
it a pull, and the skeleton will come out entire from the flesh,
as easily as you draw your hand out of a glove. The flesh will
then be a shapeless mass. With a needle and thread mend or sew up
any holes that may be found in the skin.

Take up a handful of the seasoning, squeeze it hard and proceed to
stuff the turkey with it, beginning at the wings, next to the
body, and then the thighs.

If you stuff it properly, it will again assume its natural shape.
Stuff it very hard. When all the stuffing is in, sew up the
breast, and skewer the turkey into its proper form, so that it
will look as if it had not been boned.

Tie it round with tape and bake it three hours or more. Make a
gravy of the giblets chopped, and enrich it with some wine and an
egg.

If the turkey is to be eaten cold, drop spoonfuls of red currant
jelly all over it, and in the dish round it.

A large fowl may be boned and stuffed in the same manner.",recipe,1
"A-LA-MODE BEEF

  A pound of fresh beef weighing from eighteen to twenty pounds.
  A pound of the fat of bacon or corned pork.
  The marrow from the bone of the beef, \ chopped together
  A quarter of a pound of beef-suet,    /
  Two bundles of pot herbs, parsley, thyme, small onions, &c.
    chopped fine.
  Two large bunches of sweet marjoram,\sufficient when powdered to make
  Two bunches of sweet basil,         /make four table-spoonfuls of each.
  Two large nutmegs,      \
  Half an ounce of cloves  } beaten to a powder.
  Half an ounce of mace,  /
  One table-spoonful of salt.
  One table-spoonful of pepper.
  Two glasses of madeira wine.

If your a-la-mode beef is to be eaten cold, prepare it three days
before it is wanted.

Take out the bone. Fasten up the opening with skewers, and tie the
meat all round with tape. Rub it all over on both sides with salt.
A large round of beef will be more tender than a small one.

Chop the marrow and suet together. Pound the spice. Chop the
pot-herbs very fine. Pick the sweet-marjoram and sweet-basil clean
from the stalks, and rub the leaves to a powder. You must have at
least four table-spoonfuls of each. Add the pepper and salt, and
mix well together all the ingredients that compose the seasoning.

Cut the fat of the bacon or pork into pieces about a quarter of an
inch thick and two inches long. With a sharp knife make deep
incisions all over the round of beef and very near each other. Put
first a little of the seasoning into each hole, then a slip of the
bacon pressed down hard and covered with more seasoning. Pour a
little wine into each hole.

When you have thus stuffed the upper side of the beef, turn it
over and stuff in the same manner the under side. If the round is
very large, you will require a larger quantity of seasoning.

Put it in a deep baking dish, pour over it some wine, cover it,
and let it set till next morning. It will be much the better for
lying all night in the seasoning.

Next day put a little water in the dish, set it in a covered oven,
and bake or stew it gently for twelve hours at least, or more if
it is a large round. It will be much improved by stewing it in
lard. Let it remain all night in the oven.

If it is to be eaten hot at dinner, put it in to stew the evening
before, and let it cook till dinner-time next day. Stir some wine
and a beaten egg into the gravy.

If brought to table cold, cover it all over with green parsley,
and stick a large bunch of something green in the centre.

What is left will make an excellent hash the next day.
",recipe,1
"ALMOND CAKE

  Two ounces of blanched bitter almonds, pounded very fine.
  Seven ounces of flour, sifted and dried.
  Ten eggs.
  One pound of loaf sugar, powdered and sifted.
  Two table-spoonfuls of rose-water.

Take two ounces of shelled bitter almonds or peach-kernels. Scald
them in hot water, and as you peel them, throw them into a bowl of
cold water, then wipe them dry, and pound them one by one in a
mortar, till they are quite fine and smooth.

Break ten eggs, putting the yolks in one pan and the whites in
another. Beat them separately as light as possible, the whites
first, and then the yolks.

Add the sugar, gradually, to the yolks, beating it in very hard.
Then by degrees, Beat in the almonds, and then add the rose-water.

Stir-half the whites of the eggs into the yolks and sugar. Divide
the flour into two equal parts, and stir in one half, slowly and
lightly, till it bubbles on the top. Then the other half of the
white of egg, and then the remainder of the flour very lightly.

Butter a large square tin pan, or one made of paste-board which
will be better. Put in the mixture, and set immediately in a quick
oven, which must be rather hotter at the bottom than at the top.
Bake it according to the thickness. If you allow the oven to get
slack, the cake will be spoiled.

Make an icing with the whites of three eggs, twenty-four
tea-spoonfuls of loaf-sugar, and eight drops of essence of lemon.

When the cake is cool, mark it in small squares with a knife.
Cover it with icing, and ornament it while wet, with nonpareils
dropped on in borders, round each square of the cake. When the
icing is dry, cut the cake in squares, cutting through the icing
very carefully with a penknife. Or you may cat it in squares
first, and then ice and ornament each square separately.",recipe,1
"ALMOND PUDDING.

  Half a pound of sweet almonds, which will be reduced to a quarter
    of a pound, when shelled and blanched.
  An ounce of blanched bitter almonds or peach-kernels.
  The whites only, of six eggs.
  A quarter of a pound of butter.
  A quarter of a pound of powdered white sugar.
  A table-spoonful of mixed brandy, wine, and rose-water.

Shell half a pound of sweet almonds, and pour scalding water over
them, which will make the skins peal off. As they get cool, pour
more boiling water, till the almonds are all blanched. Blanch also
the bitter almonds. As you blanch the almonds, throw them into a
bowl of cold water. Then take them out, one by one, wipe them dry
in a clean towel, and lay them on a plate. Pound them one at a
time to a fine paste, in a marble mortar, adding, as you pound
them, a few drops of rose-water to prevent their oiling. Pound the
bitter and sweet almonds alternately, that they may be well mixed.
They must be made perfectly fine and smooth, and are the better
for being prepared the day before they are wanted for the pudding.

Stir the butter and sugar to a cream, and add to it, gradually,
the liquor.

Beat the whites of six eggs till they stand alone. Stir the
almonds and white of eggs, alternately, into the butter and sugar;
and then stir the whole well together.

Have ready a puff-paste sufficient for a soup-plate. Butter the
plate, lay on the paste, trim and notch it. Then put in the
mixture.

Bake it about half an hour in a moderate oven.

Grate loaf-sugar over it.",recipe,1
"ANOTHER KIND OF ICE-CREAM.

  A pint and a half of rich cream.
  A quart and a half-pint of morning's milk.
  One pound of loaf sugar.
  Two eggs.
  One table-spoonful of flour.
  Two lemons.
  Or half a Vanilla bean, split into small pieces.
  Or two ounces of sweet almonds and once ounce of bitter almonds,
    blanched and split into pieces.

Take half of the milk and put in the ingredient that is to flavour
it, either the vanilla, the almonds, or the grated rind of the
lemons. Boil it, stirring in gradually the sugar.

Having beaten the eggs well, add to them two table-spoonfuls of
cold milk, and pour them into the boiling milk. Let them simmer
two or three minutes, stirring them all the time. Then take the
mixture off the fire and strain it through book-muslin into a pan.
Add the cream and the remainder of the milk, and put the whole
into the tin freezer, which must be set in a tub filled with ice,
among which must be scattered a great deal of salt.

Squeeze the juice from the two lemons and stir it into the cream,
by degrees, while it is freezing.

When it is all frozen, turn it out, first dipping the tin for a
moment in warm water.

If you wish to flavour it with strawberry or raspberry juice,
that, like the lemon-juice, must be stirred gradually in while the
cream is freezing.

In places where cream is not abundant, this receipt (though
inferior in richness) will be found more economical than the
preceding one. It is, however, less easy and expeditious.",recipe,1
"APEES.

  A pound of flour, sifted.
  Half a pound of butter.
  Half a glass of wine, and a table-spoon of rose-water mixed.
  Half a pound of powdered white sugar.
  A nutmeg, grated.
  A tea-spoonful of beaten cinnamon and mace.
  Three table-spoonfuls of carraway seeds.

Sift the flour into a broad pan, and cut up the butter in it. Add
the carraways, sugar, and spice, and pour in the liquor by
degrees, mixing it well with a knife; add enough of cold water to
make it a stiff dough. Spread some flour on your pasteboard, take
out the dough, and knead it very well with your hands. Cut it into
small pieces, and knead each separately, then put them all
together, and knead the whole in one lump. Roll it out in a sheet
about a quarter of an inch thick. Cut it out in round cakes, with
the edge of a tumbler, or a tin of that size. Butter an iron pan,
and lay the cakes in it, not too close together. Bake them a few
minutes in a moderate oven, till they are very slightly coloured,
but not brown. If too much baked, they will entirely lose their
flavour. Do not roll them out too thin.",recipe,1
"APPLE JELLY.

Take the best pippin, or bell-flower apples. No others will make
good jelly. Pare, core, and quarter them. Lay them in a preserving
kettle, and put to them as much water only, as will cover them,
and as much lemon-peel as you choose. Boil them till they are
soft, but not till they break. Drain off the water through a
colander, and mash the apples with the hack of a spoon. Put them
into a jelly bag, set a deep dish or pan under it, and squeeze out
the juice.

To every pint of juice, allow a pound of loaf-sugar, broken up,
and the juice of two lemons. Put the apple-juice, the sugar, and
the lemon-juice into the preserving kettle. Boil it twenty
minutes, skimming it well. Take it immediately from the kettle,
and pour it warm into your glasses, but not so hot as to break
them. When cold, cover each glass with white paper dipped in
brandy, and tie it down tight with another paper. Keep them in a
cool place.

Quince Jelly is made in the same manner, but do not pare the
quinces. Quarter them only.",recipe,1
"A TRIFLE.

  A quart of cream.
  A quarter of a pound of loaf sugar, powdered.
  Half a pint of white wine and Half a gill of brandy mixed.
  Eight maccaroons, or more if you choose.
  Four small sponge-cakes or Naples biscuit.
  Two ounces of blanched sweet almonds, pounded in a mortar.
  One ounce of blanched bitter almonds or peach-kernels.
  The juice and grated peel of two lemons.
  A nutmeg, grated.
  A glass of noyau.
  A pint of rich baked custard, made of the yolks of eggs.

Pound the sweet and bitter almonds to a smooth paste, adding a
little rose-water as you pound them.

Grate the yellow peels of the lemons, and squeeze the juice into a
saucer.

Break the sponge cake and maccaroons into small pieces, mix them
with the almonds, and lay them in the bottom of a large glass
bowl. Grate a nutmeg over them, and the juice and peel of the
lemons. Add the wine and brandy, and let the mixture remain
untouched, till the cakes are dissolved in the liquor. Then stir
it a little.

Mix the cream and sugar with a glass of noyau, and beat it with a
whisk or rods, till it stands alone.

As the froth rises, take it off with a spoon, and lay it on a
sieve (with a large dish under it) to drain. The cream, that
drains into the dish, must be poured back into the pan with the
rest, and beaten over again. When the cream is finished, set it in
a cool place.

When the custard is cold, poor it into the glass bowl upon the
dissolved cakes, &c. and when the cream is ready, fill up the bowl
with it, heaping it high in the middle. You may ornament it with
nonpareils.

If you choose, you can put in, between the custard and the frothed
cream, a layer of fruit jelly, or small fruit preserved.
",recipe,1
"BAKED APPLE PUDDING.

  A pint of stewed apples.
  Half a pint of cream, or two ounces of butter.
  A quarter of a pound of powdered sugar.
  A nutmeg grated.
  A table-spoonful of rose-water.
  A tea-spoonful of grated lemon-peel.

Stew your apple in as little water as possible, and not long
enough for the pieces to break and lose their shape. Put them in a
colander to drain, and mash them with the back of a spoon. If
stewed too long, and in too much water, they will lose their
flavour. When cold, mix with them the nutmeg, rose-water, and
lemon-peel, and two ounces of sugar. Stir the other two ounces of
sugar, with the butter or cream, and then mix it gradually with
the apple.

Bake, it in puff-paste, in a soup-dish, about half an hour in a
moderate oven.

Do not sugar the top.",recipe,1
"BAKED OR SCOLLOPED OYSTERS.

Grate a small loaf of stale-bread. Butter a deep dish well, and
cover the sides and bottom with bread crumbs. Put in half the
oysters with a little mace and pepper. Cover them with crumbs and
small bits of butter strewed over them. Then put in the remainder
of the oysters. Season them. Cover them as before with crumbs and
butter. If the oysters are fresh, pour in a little of the liquor.
If they are salt, substitute a little water. Bake them a very
short time. You may cook them in the small scolloped dishes made
for the purpose.
",recipe,1
"BATTER PUDDING.

  Six eggs.
  Eight table-spoonfuls of sifted flour.
  One quart of milk.
  A salt-spoonful of salt.

Stir the flour, gradually, into the milk, carefully dissolving all
the lumps. Beat the eggs very light, and add them by degrees to
the milk and flour. Put in the salt, and stir the whole well
together.

Take a very thick pudding-cloth. Dip it in boiling water, and
flour it. Pour into it the mixture and tie it up, leaving room for
it to swell. Boil it hard, one hour, and keep it in the pot, till
it is time to send it to table. Serve it up with wine-sauce.

A square cloth, which when tied up will make the pudding of a
round form, is better than a bag.

Apple Batter Pudding is made by pouring the batter over a dish of
pippins, pared, cored, and sweetened, either whole or cut in
pieces. Bake it, and eat it with butter and sugar.",recipe,1
"BEEF-STEAK PIE.

Butter a deep dish, and spread a sheet of paste all over the
bottom, sides, and edge.

Cut away from your beef-steak all the bone, fat, gristle, and
skin. Cut the lean in small thin pieces, about as large,
generally, as the palm of your hand. Beat the meat well with the
rolling-pin, to make it juicy and tender. If you put in the fat,
it will make the gravy too greasy and strong, as it cannot be
skimmed.

Put a layer of meat over the bottom-crust of your dish, and season
it to your taste, with pepper, salt, and, if you choose, a little
nutmeg. A small quantity of mushroom ketchup is an improvement;
so, also, is a little minced onion.

Have ready some cold boiled potatoes sliced thin. Spread over the
meat, a layer of potatoes, and a small piece of butter; then
another layer of meat, seasoned, and then a layer of potatoes, and
so on till the dish is full and heaped up in the middle, having a
layer of meat on the top. Pour in a little water.

Cover the pie with a sheet of paste, and trim the edges. Notch it
handsomely with a knife; and, if you choose, make a tulip of
paste, and stick it in the middle of the lid, and lay leaves of
paste round it.

Fresh oysters will greatly improve a beef-steak pie. So also will
mushrooms.

Any meat pie may be made in a similar manner.",recipe,1
"BLACKBERRY CORDIAL.

Take the ripest blackberries. Mash them, put them in a linen bag
and squeeze out the juice. To every quart of juice allow a pound
of beaten loaf-sugar. Put the sugar into a large preserving
kettle, and pour the juice on it. When it is all melted, set it on
the fire, and boil it to a thin jelly. When cold, to every quart
of juice allow a quart of brandy. Stir them well together, and
bottle it for use. It will be ready at once.",recipe,1
"BLACK CAKE, OR PLUM CAKE.

  One pound of flour sifted.
  One pound of fresh butter.
  One pound of powdered white sugar.
  Twelve eggs.
  Two pounds of the best raisins.
  Two pounds of currants.
  Two table-spoonfuls of mixed spice, mace and cinnamon.
  Two nutmegs powdered.
  A large glass of wine      \
  A large glass of brandy     }mixed together.
  Half a glass of rose-water /
  A pound of citron.

Pick the currants very clean, and wash them, draining them through
a colander. Wipe them in a towel. Spread them out on a large dish,
and set them near the fire, or in the hot sun, to dry, placing the
dish in a slanting position. Having stoned the raisins, cut them
in half, and, when all are done, sprinkle them well with sifted
flour, to prevent their sinking to the bottom of the cake. When
the currants are dry, sprinkle them also with flour.

Pound the spice, allowing twice as much cinnamon as mace. Sift it,
and mix the mace, nutmeg, cinnamon together. Mix also the liquor
and rose-water in a tumbler or cup. Cut the citron in slips. Sift
the flour into a broad dish. Sift the sugar into a deep earthen
pan, and cut the butter into it. Warm it near the fire, if the
weather is too cold for it to mix easily. Stir the butter and
sugar to a cream.

Beat the eggs as light as possible. Stir them into the butter and
sugar, alternately with the flour. Stir very hard. Add gradually
the spice and liquor. Stir the raisins and currants alternately
into the mixture, taking care that they are well floured. Stir the
whole as hard as possible, for ten minutes after the ingredients
are in.

Cover the bottom and sides of a large tin or earthen pan, with
sheets of white paper well buttered, and put into it some of the
mixture. Then spread on it some of the citron, which must not be
cut too small. Next put a layer of the mixture, and then a layer
of citron, and so on till it is all in, having a layer of the
mixture at the top.

This cake is always best baked in a baker's oven, and will require
four or five hours, in proportion to its thickness. [Footnote:
After this cake is done, it will be the better for withdrawing the
fire (if baked in an iron oven) and letting it stay in the oven
all night, or till it gets quite cold.] Ice it the next day.
",recipe,1
